index	genome	identifier	file	clip	scale	sum_stat	description
157	1	ENCFF723DER	/home/suncz/work/s02/Encode_epigenome/data/ENCFF723DER.bigWig	32	2	mean	ChIP-seq:H3K36me3:heart right ventricle
158	1	ENCFF813FYO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF813FYO.bigWig	32	2	mean	ChIP-seq:H3K27me3:heart left ventricle
159	1	ENCFF656MTO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF656MTO.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
160	1	ENCFF582AWC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF582AWC.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
161	1	ENCFF268CMY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF268CMY.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
162	1	ENCFF595OLH	/home/suncz/work/s02/Encode_epigenome/data/ENCFF595OLH.bigWig	32	2	mean	ChIP-seq:H3K9me3:heart left ventricle
163	1	ENCFF957SHQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF957SHQ.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
164	1	ENCFF602SSG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF602SSG.bigWig	32	2	mean	ChIP-seq:H3K27ac:heart right ventricle
165	1	ENCFF220PZT	/home/suncz/work/s02/Encode_epigenome/data/ENCFF220PZT.bigWig	32	2	mean	"DNase-seq::effector memory CD8-positive, alpha-beta T cell"
166	1	ENCFF462MRQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF462MRQ.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
167	1	ENCFF972CJF	/home/suncz/work/s02/Encode_epigenome/data/ENCFF972CJF.bigWig	32	2	mean	ChIP-seq:H3K9me3:heart left ventricle
168	1	ENCFF725EPA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF725EPA.bigWig	32	2	mean	ChIP-seq:H3K27ac:heart right ventricle
169	1	ENCFF715IBU	/home/suncz/work/s02/Encode_epigenome/data/ENCFF715IBU.bigWig	32	2	mean	ATAC-seq::memory B cell
170	1	ENCFF059AEX	/home/suncz/work/s02/Encode_epigenome/data/ENCFF059AEX.bigWig	32	2	mean	ChIP-seq:H3K4me1:heart right ventricle
